player_id,player_name,team,season,proj_target_share_next,proj_carry_share_next,targets,rush_att,team_targets,team_carries
00-0019596,T.Brady,NE,2019,0.0,0.0589285714285714,0.0,0.0,35.0,22.0
00-0019596,T.Brady,TB,2020,0.0,0.0959906951286261,0.0,4.0,29.0,33.0
00-0019596,T.Brady,TB,2021,0.0,0.0,0.0,1.0,53.0,14.0
00-0019596,T.Brady,TB,2022,0.0,0.0622222222222222,0.0,0.0,61.0,12.0
00-0020531,D.Brees,NO,2019,0.0,0.0530020703933747,0.0,1.0,33.0,17.0
00-0020531,D.Brees,NO,2020,0.0,0.0507936507936508,0.0,2.0,35.0,25.0
00-0021206,J.McCown,PHI,2019,0.0,0.0344827586206896,0.0,5.0,25.0,26.0
00-0022127,J.Witten,DAL,2019,0.1492094861660079,0.0,4.0,0.0,32.0,36.0
00-0022127,J.Witten,LV,2020,0.0332333833083458,0.0,5.0,0.0,30.0,24.0
00-0022787,M.Schaub,ATL,2019,0.0,0.0128205128205128,0.0,1.0,31.0,32.0
00-0022787,M.Schaub,ATL,2020,0.0,0.09375,0.0,3.0,37.0,32.0
00-0022803,E.Manning,NYG,2019,0.0,0.0696078431372549,0.0,0.0,29.0,33.0
00-0022824,A.Lee,ARI,2019,0.0,0.0,0.0,0.0,43.0,18.0
00-0022824,A.Lee,ARI,2020,0.0,0.0,0.0,0.0,37.0,30.0
00-0022824,A.Lee,ARI,2021,0.0,0.0357142857142857,0.0,1.0,39.0,28.0
00-0022824,A.Lee,ARI,2022,0.0,0.0,0.0,0.0,42.0,27.0
00-0022921,L.Fitzgerald,ARI,2019,0.219753086419753,0.0,7.0,0.0,39.0,17.0
00-0022921,L.Fitzgerald,ARI,2020,0.1527561215061215,0.0,8.0,0.0,46.0,27.0
00-0022924,B.Roethlisberger,PIT,2019,0.0,0.0769230769230769,0.0,0.0,34.0,16.0
00-0022924,B.Roethlisberger,PIT,2020,0.0,0.0766045548654244,0.0,1.0,68.0,16.0
00-0022924,B.Roethlisberger,PIT,2021,0.0,0.0440860215053763,0.0,2.0,44.0,20.0
00-0022942,P.Rivers,LAC,2019,0.0,0.0111111111111111,0.0,1.0,44.0,25.0
00-0022942,P.Rivers,IND,2020,0.0,0.0325107716412064,0.0,1.0,43.0,30.0
00-0022943,B.Watson,NE,2019,0.0713156814449917,0.0,4.0,0.0,35.0,22.0
00-0023436,A.Smith,WAS,2020,0.0,0.0277777777777777,0.0,1.0,29.0,27.0
00-0023459,A.Rodgers,GB,2019,0.0,0.1090277777777777,0.0,1.0,37.0,16.0
00-0023459,A.Rodgers,GB,2020,0.0,0.0816079237131868,0.0,0.0,46.0,16.0
00-0023459,A.Rodgers,GB,2021,0.0,0.0470679012345679,0.0,0.0,27.0,20.0
00-0023459,A.Rodgers,GB,2022,0.0,0.132005772005772,0.0,3.0,26.0,28.0
00-0023459,A.Rodgers,NYJ,2023,0.0,0.0,0.0,0.0,18.0,28.0
00-0023459,A.Rodgers,NYJ,2024,0.0,0.1036231884057971,0.0,0.0,35.0,22.0
00-0023500,F.Gore,BUF,2019,0.0341880341880341,0.2456903127383676,1.0,8.0,43.0,30.0
00-0023500,F.Gore,NYJ,2020,0.026838432635534,0.3730577785111239,1.0,14.0,28.0,34.0
00-0023534,D.Colquitt,KC,2019,0.0,0.0,0.0,0.0,49.0,25.0
00-0023564,D.Sproles,PHI,2019,0.0211640211640211,0.0668059909439219,2.0,2.0,39.0,35.0
00-0023682,R.Fitzpatrick,MIA,2019,0.0,0.1920965309200603,0.0,5.0,44.0,22.0
00-0023682,R.Fitzpatrick,MIA,2020,0.0,0.0925490196078431,0.0,0.0,34.0,25.0
00-0023682,R.Fitzpatrick,WAS,2021,0.0,0.037037037037037,0.0,1.0,20.0,27.0
00-0024221,V.Davis,WAS,2019,0.1220456336735406,0.0,4.0,0.0,26.0,17.0
00-0024243,M.Lewis,GB,2019,0.0260558804418453,0.0,2.0,0.0,37.0,16.0
00-0024243,M.Lewis,GB,2020,0.0350582437275985,0.0,3.0,0.0,46.0,16.0
00-0024243,M.Lewis,GB,2021,0.0711936387458209,0.0,1.0,0.0,27.0,20.0
00-0024243,M.Lewis,GB,2022,0.0405597326649958,0.0,2.0,0.0,38.0,25.0
00-0024243,M.Lewis,CHI,2023,0.0377568791361894,0.0,1.0,0.0,23.0,39.0
00-0024243,M.Lewis,CHI,2024,0.0384615384615384,0.0,1.0,0.0,26.0,29.0
00-0024389,De.Walker,TEN,2019,0.1409964304701146,0.0,6.0,0.0,32.0,21.0
00-0024417,S.Koch,BAL,2019,0.0,0.0,0.0,0.0,27.0,37.0
00-0024417,S.Koch,BAL,2020,0.0,0.0,0.0,0.0,23.0,32.0
00-0024417,S.Koch,BAL,2021,0.0,0.0,0.0,0.0,32.0,36.0
00-0025394,A.Peterson,WAS,2019,0.055055055055055,0.6728271728271729,4.0,13.0,35.0,20.0
00-0025394,A.Peterson,DET,2020,0.0087719298245614,0.2518518518518518,0.0,7.0,31.0,22.0
00-0025394,A.Peterson,SEA,2021,0.0382380872576951,0.3401591511936339,0.0,11.0,37.0,27.0
00-0025396,T.Ginn,NO,2019,0.042646625405246,0.0,2.0,0.0,33.0,17.0
00-0025396,T.Ginn,CHI,2020,0.044501133786848,0.0,2.0,0.0,42.0,16.0
00-0025399,M.Lynch,SEA,2019,0.0517241379310344,0.3153846153846154,0.0,12.0,28.0,24.0
00-0025418,G.Olsen,CAR,2019,0.1358550203026947,0.0,6.0,0.0,49.0,18.0
00-0025418,G.Olsen,SEA,2020,0.0877865961199294,0.0,2.0,0.0,29.0,24.0
00-0025708,M.Moore,KC,2019,0.0,0.0281609195402298,0.0,1.0,30.0,29.0
00-0025825,B.Kern,TEN,2019,0.0,0.0158730158730158,0.0,0.0,32.0,23.0
00-0025825,B.Kern,TEN,2020,0.0,0.0,0.0,0.0,30.0,23.0
00-0026035,D.Amendola,DET,2019,0.214428893264506,0.0,4.0,0.0,29.0,25.0
00-0026035,D.Amendola,DET,2020,0.1752173225857436,0.0,2.0,0.0,31.0,22.0
00-0026035,D.Amendola,HOU,2021,0.1369286510590858,0.0,9.0,0.0,32.0,21.0
00-0026143,M.Ryan,ATL,2019,0.0,0.1431327160493827,0.0,2.0,48.0,30.0
00-0026143,M.Ryan,ATL,2020,0.0,0.0568004459308807,0.0,3.0,41.0,26.0
00-0026143,M.Ryan,ATL,2021,0.0,0.1768408724930464,0.0,1.0,31.0,12.0
00-0026143,M.Ryan,IND,2022,0.0,0.0994871794871795,0.0,3.0,31.0,43.0
00-0026158,J.Flacco,DEN,2019,0.0,0.0756944444444444,0.0,1.0,29.0,28.0
00-0026158,J.Flacco,NYJ,2020,0.0,0.0627705627705627,0.0,1.0,28.0,24.0
00-0026158,J.Flacco,NYJ,2021,0.0,0.0,0.0,2.0,35.0,18.0
00-0026158,J.Flacco,NYJ,2022,0.0,0.0333333333333333,0.0,0.0,32.0,20.0
00-0026158,J.Flacco,CLE,2023,0.0,0.0645502645502645,0.0,3.0,43.0,20.0
00-0026158,J.Flacco,IND,2024,0.0,0.0451887293992557,0.0,0.0,39.0,34.0
00-0026189,D.Jackson,PHI,2019,0.2307692307692307,0.0,1.0,0.0,39.0,35.0
00-0026189,D.Jackson,PHI,2020,0.1441241685144124,0.0128205128205128,1.0,0.0,34.0,29.0
00-0026189,D.Jackson,LV,2021,0.1256944444444444,0.0,2.0,0.0,49.0,14.0
00-0026189,D.Jackson,BAL,2022,0.1165966386554621,0.0,2.0,0.0,20.0,28.0
00-0026197,C.Henne,KC,2020,0.0,0.116488413547237,0.0,2.0,37.0,24.0
00-0026197,C.Henne,KC,2021,0.0,0.0856410256410256,0.0,2.0,29.0,35.0
00-0026197,C.Henne,KC,2022,0.0,0.1071428571428571,0.0,1.0,35.0,30.0
00-0026293,M.Slater,NE,2019,0.0,0.0,0.0,0.0,34.0,23.0
00-0026300,J.Johnson,BAL,2021,0.0,0.0634920634920634,0.0,5.0,37.0,16.0
00-0026300,J.Johnson,SF,2022,0.0,0.0555555555555555,0.0,2.0,15.0,24.0
00-0026300,J.Johnson,BAL,2024,0.0,0.0401644528779253,0.0,0.0,16.0,43.0
00-0026498,M.Stafford,DET,2019,0.0,0.0766666666666666,0.0,3.0,41.0,19.0
00-0026498,M.Stafford,DET,2020,0.0,0.0469135802469135,0.0,2.0,31.0,22.0
00-0026498,M.Stafford,LA,2021,0.0,0.1545472877596289,1.0,3.0,40.0,23.0
00-0026498,M.Stafford,LA,2022,0.0,0.0825123152709359,0.0,1.0,27.0,30.0
00-0026498,M.Stafford,LA,2023,0.0,0.033918429298864,0.0,0.0,34.0,17.0
00-0026498,M.Stafford,LA,2024,0.0,0.1534701857282502,0.0,2.0,44.0,21.0
00-0026544,C.Daniel,CHI,2019,0.0,0.1051693404634581,0.0,0.0,45.0,24.0
00-0026544,C.Daniel,DET,2020,0.0,0.0246913580246913,0.0,0.0,30.0,15.0
00-0026544,C.Daniel,LAC,2021,0.0,0.054054054054054,0.0,2.0,30.0,37.0
00-0026544,C.Daniel,LAC,2022,0.0,0.0,0.0,1.0,44.0,22.0
00-0026625,B.Hoyer,IND,2019,0.0,0.0530012771392081,0.0,3.0,24.0,32.0
00-0026625,B.Hoyer,NE,2020,0.0,0.0285714285714285,0.0,1.0,35.0,35.0
00-0026625,B.Hoyer,NE,2021,0.0,0.0591377576671694,0.0,2.0,33.0,36.0
00-0026625,B.Hoyer,NE,2022,0.0,0.0,0.0,0.0,20.0,33.0
00-0026625,B.Hoyer,LV,2023,0.0,0.0909090909090909,0.0,0.0,45.0,14.0
00-0026986,M.Crabtree,ARI,2019,0.081081081081081,0.0,2.0,0.0,42.0,22.0
00-0027029,L.McCoy,KC,2019,0.1251780626780626,0.2703277990634312,0.0,6.0,34.0,25.0
00-0027029,L.McCoy,TB,2020,0.0507530081173492,0.0893772893772893,1.0,0.0,41.0,26.0
00-0027061,J.Cook,NO,2019,0.101620984379605,0.0,5.0,0.0,33.0,17.0
00-0027061,J.Cook,NO,2020,0.1699051268016785,0.0,7.0,0.0,35.0,25.0
00-0027061,J.Cook,LAC,2021,0.1676382264617558,0.0,7.0,0.0,64.0,21.0
00-0027114,T.Morstead,NYJ,2023,0.0,0.0,0.0,0.0,28.0,18.0
00-0027150,J.Edelman,NE,2019,0.202483579638752,0.0,5.0,2.0,35.0,22.0
00-0027150,J.Edelman,NE,2020,0.2026455026455026,0.0087719298245614,3.0,0.0,22.0,22.0
00-0027539,A.Levine,BAL,2019,0.0,0.0217391304347826,0.0,1.0,20.0,44.0
00-0027647,D.McCourty,NE,2020,0.0,0.0,0.0,0.0,21.0,43.0
00-0027656,R.Gronkowski,TB,2020,0.0688007898534214,0.0,7.0,0.0,29.0,33.0
00-0027656,R.Gronkowski,TB,2021,0.2113020646855233,0.0,11.0,0.0,53.0,14.0
00-0027685,E.Sanders,SF,2019,0.1393097643097643,0.0,5.0,0.0,31.0,22.0
